comment_id,text,author,likes,replies,time,time_parsed
UgxrRzvBX6k4jcH9Wap4AaABAg,"Akari masalahnya yah koruptor coba di sah kan uu perampasan aset koruptor dan hukuman mati di jamin uang kas negara terjaga juga bisa bayar utang negara dengan lancar..
Hasil bumi negara kita melimpah sayangnya banyak oknum yang menyala gunakan seperti emas timah bahkan nikel belum lagi hasil nelayan dan tani gak di perhatiin jadi pake hasil luar negeri😅😅",@nunozgomez1039,0,,3 minggu yang lalu,1779546140.697345
Ugw6ZgSD7_ftnJgLPbl4AaABAg,setahu saya indon kuponnya pajaknya 0% karena insentif pemerintah buat investor intl ....,@aandrianto1984,0,,3 minggu yang lalu,1779546140.697345
Ugwjh8SuRkdpSWuWPWB4AaABAg,Bagaimana membandingkan dengan harga BBM import dan material lainnya ?,@wak-asahan4451,0,,3 minggu yang lalu,1779546140.704779
UgyBw1B3_Ydd0Cu0DNp4AaABAg,Prabowo ni mbah mbah demensia semoga cepet lengser,@dewonggo,0,,3 minggu yang lalu,1779546140.706809
Ugwlc3tcfuQBPQTnm194AaABAg,"BETUL SEKALI BANG.. INI BISA DI BUKTIKAN KINERJA PARA MENTERI PRABOWO.. 
GUBERNUR BI YANG TERPENTING DALAM MENGENDALIKAN RUPIAH KE DOLLAR AS",@Iwann342,0,,3 minggu yang lalu,1779546140.708349
UgwRABJD1nrHBevjx394AaABAg,Amerika sj lagi perang ko dolar tdk turun. Padahal indo aman2 sj kenapa Rupia turun.,@arjuntatawu903,0,,3 minggu yang lalu,1779546140.709369
Ugy2T64Fqdqm8_BXMc94AaABAg,"Gue pribadi sendiri dari awal sepakat. inti dari kejadian sekarang bisa jadi dari Regulasi.. yang dimana asing enggan naro investasi disini... tapi selama ini penegakan korupsi gencar banget loh di pemerintahan prabowo. Jadi asumsi karna tinggi nya korupsi/penegakan hukum apa masih relefan? Gue pribadi mikirnya ini karna kebijakan pemerintah terkait investasi aja.. yang akhir2 ini memang berubah terus... dan prabowo sendiri fokusnya ke dalam negeri. (MBG, Kopdes, dll).. bukannya mbg dll salah ya.. Gue pribadi gak masalah terkait ini.",@mawlz3547,0,,3 minggu yang lalu,1779546140.710397
UgwZgGkbboZic5hl4vZ4AaABAg,Astronom,@pkuproperty,0,,3 minggu yang lalu,1779546140.710397
Ugzvo1ulvtz_5JiE-cV4AaABAg,"Pas jaman pa harto rakyat masih merasakan harga murah ga susah2 banget lah hidupnya rakyat walaupun di balik itu rupiah berdarah2. Makanya populer meme ""enak jaman ku to"".
Lah kalau sekarang kalian bisa rasakan sendiri lah ❤",@MangRonTV,0,,3 minggu yang lalu,1779546140.710397
UgzPuHybkDBoN5mDeWJ4AaABAg,"Setiap kebijakan pemerintah akan ada dampak ""negatif"" nya, meskipun seolah itu hal yg tidak ada dampak negatifnya.

penegakan hukum itu mungkin terkesan tidak ada harga negatifnya, tapi mencapainya [BISA] jadi itu ada harga yg harus dibayar.

Orang sering menggunakan angka ini untuk mengejek kubu prabowo, tapi di saat bersamaan 58% ini adalah realitas politik rakyat indonesia (tentu 58% itu bukan berarti jumlah masyarakat indonesia). 58% persen masyarakat itu tidak siap",@meferswift,0,,3 minggu yang lalu,1779546140.710397
UgzLDY09bZT_N-CYQyR4AaABAg,"Thank u utk kuliahnya, ko Leon 🙏🏾🙏🏾🙏🏾",@rossita6634,0,,3 minggu yang lalu,1779546140.710397
UgxdrIBSRzQEKUNnqdJ4AaABAg,Menteri aja pesanan dan orang2 partai. Anggota dpr aja ada yg tamatan SD doang. Presiden sekarang udah 4x gagal baru terpilih. Mau harap apa dari konoha,@AnwarLie-bq9vo,0,,3 minggu yang lalu,1779546140.710397
UgxNsP-O7siyfEVMxU14AaABAg,UMR Indonesia gak ngotak. Negara lain 20jt Indonesia 3.5jt. Biadab,@MinkumSalam,0,,3 minggu yang lalu,1779546140.72132
UgwKIFPXtxydp2QdJl14AaABAg,"Kenapa rupiah terus inflasi selama bertahun tahun ?
karena setiap hari kita mengadaikan rupiah ke dollar untuk beli minyak dan Gas selama puluhan tahun kemudian dibakar, kan bego ..",@bermainguys4366,0,,3 minggu yang lalu,1779546140.721757
UgwxUP8pbKseTLvJyW14AaABAg,konten mahal isi daging yang pejabat kita gabisa jelasin,@afinaahi,0,,3 minggu yang lalu,1779546140.721757
UgwH5BpmhRh7t8jvzap4AaABAg,"Baru sampe detik 50 sy sudah ada kesimpulan, g ada harapan.... selebihnya cuma konfirmasi, ternyata indo (at least rezim wowo dan wiwi) memang g akan pernah bisa mencapai hal itu..",@housse51,0,,3 minggu yang lalu,1779546140.721757
UgzDA4HpB6hR2RBnSWN4AaABAg,"kalian pilih mana? Dolar = Rp 7000 tapi UMR $20 atau dolar = Rp 17000 tapi UMR $200

Tahun 1999 UMR rata rata nasional naik dari Rp 150rb ke Rp 180rb, kenaikan rupiah mendongkrak UMR saat itu dari $16 ke $23 per bulan

Tapi kalau dibanding UMR sekarang itu tidak seberapa

Karena UMR rata rata nasional 2025 adalah $200 , hampir 10 kali lipat tahun 1999

Kita selalu melihat turunnya dolar pada tahun 1999 sebagai sesuatu yg luar biasa dibanding saat ini

tapi kita lupa bahwa kenaikan gaji kita dibanding 1999 sebanarnya jauh lebih luar biasa

Jadi lebih baik kita bersyukur daya beli kita naik walaupun rupiah turun, karena itu jauh lebih penting",@suburmakmurrr,0,,3 minggu yang lalu,1779546141.011799
UgyGEnGVBKGEkWtYJWh4AaABAg,"INDON Valas setahu saya pajaknya ditanggung pemerintah. Memang kalau Obligasi IDR ada potongan pajak kupon 10%, tapi kalau INDON Valas tidak ada. CMIIW.",@daffaadraghifari8266,0,,3 minggu yang lalu,1779546141.011799
